,question,modified_relation
42,Which device in the image can be used for playing game?,UsedFor
40,Which thing in the image need to run on the rail?,RelatedTo
41,what object in this image has a short lifespan?,HasA
344,Where does sink found at?,AtLocation
346,Which is redder? The fruit in the image or rose?,Comparative
347,What object in this image is used for storing things?,UsedFor
340,Tell me where can you find the big white stuff in this image,AtLocation
341,Where can I find a comfortable place to sit?,IsA
343,What is the wooden thing used for?,UsedFor
349,Where you can find the object shown in this image?,AtLocation
4527,Which object in this image is for sitting in?,IsA
4526,Which object in this image is used for sleep?,RelatedTo
3237,Which object in this image is related to double bass?,RelatedTo
4833,What can be found in this place?,AtLocation
4524,Which object in this image has a cover?,RelatedTo
4834,What can be found in this place?,AtLocation
4521,Which object in this image belongs to the category Animals in art?,Category
4836,Which object in this image is capable of showing text?,CapableOf
4683,Which object in this image is capable of showing text?,CapableOf
2269,What is the yellow object in this image?,HasProperty
2263,Which object in this image is used in spaghetti sauce?,RelatedTo
2260,Which object in the image is required for pitching?,UsedFor
2261,What in this image possesses a nose?,HasA
5905,Which object in this image has a nose?,HasA
2266,Which object in this image is sour?,HasProperty
1278,Which object in this image is sour?,HasProperty
2264,Which object in this image is related to Roma?,RelatedTo
2040,Which object in this image can carry freight or cargo?,UsedFor
2041,What is one thing that can sometimes be found in this place?,AtLocation
2048,Which object in this image is related to superstation?,RelatedTo
2049,Which object that the woman in the middle is pulling is related to baggage claim?,RelatedTo
4389,which object in this image has one heart?,HasA
4388,which object in this image can say 'I love you'?,CapableOf
4383,Which object in this image has the property of Accuracy and precision?,Category
4380,Which object in this image is related to kick start?,RelatedTo
4387,which object in this image is capable of ironing pants?,CapableOf
4386,which object in this image can be paid a salary by a company?,IsA
4385,what can we find in the place shown in this image,AtLocation
4384,what can we find in the place shown in this image,AtLocation
1373,which object in this image can connect two computers together?,CapableOf
1372,which object in this image is capable of feeding themselves?,CapableOf
1374,which object in this image is capable of dancing in a group?,CapableOf
1377,Which object in this image can be used for covering your chest?,UsedFor
1379,Which object in this image is used for carrying clothes on trip?,UsedFor
5584,Which object in this image is used for carry clothes on a trip?,UsedFor
1378,Which object in this image is used to provide shelter?,UsedFor
409,What kind of sound can this instrument make?,RelatedTo
22,what object in this image is related to banging?,RelatedTo
408,What do you need to make the instrument in the image work?,RelatedTo
4033,Which object in this image has a tail as a part of the body?,PartOf
3308,Which object in this image has a tail?,PartOf
4037,Which object is easier than guitar in this image?,Comparative
4039,Which object in this image can be found in band?,AtLocation
2455,Which object in this image is used for press key?,UsedFor
2454,Which object in this image is used for inputing?,UsedFor
2457,Which object in this image has a significant impact to every part of life,HasA
2456,Which object in this image belongs to the category computer peripherals?,Category
2453,Which object in this image is related to machine language?,RelatedTo
2452,Which object in this image is capable of process information?,CapableOf
655,Which object in this image is used for music,UsedFor
5137,Which object in this image is used for music?,UsedFor
652,Which thing in the image can be used to cook a meal?,UsedFor
1507,What object can be used to travel through many time zones?,CapableOf
651,What is the room used for?,UsedFor
1509,What is the place in this image used for?,UsedFor
658,What kind is arrow belongs?,IsA
1976,which object in this image is capable of reproducing?,CapableOf
1975,which object in this image is a canine?,RelatedTo
3226,Which object in this image is furry?,RelatedTo
1970,Which object in this image can eat a banana?,CapableOf
2591,What object in this image can eat a banana?,CapableOf
3233,What is the place in this image used for?,UsedFor
3230,Which object in this image is a type of headpiece?,RelatedTo
3236,Which object in this image belongs to the category Percussion instrument?,Category
1969,Which object in this image can be found at a sporting event?,AtLocation
1618,Which object in this image is collected by arctophiles?,RelatedTo
1619,where is this place?,AtLocation
1616,What object can be used to hit person?,UsedFor
1612,which object in this image is slower than train?,Comparative
1613,which object in this image is more flexible than train?,Comparative
2872,What substance in this image is composed of silicon?,RelatedTo
2877,What percussion instrument is in this image?,RelatedTo
4986,Which object in this image might be used for holding juice?,UsedFor
2879,What object in this image can be found in a swamp?,RelatedTo
2878,What object in this image is related to Latin America?,RelatedTo
3357,What object in this image has a nose?,HasA
3356,Which object in this image likes bones?,Desires
